id_str	from_user	text	created_at	Relevante? (S/N) Anotador 1	Relevante? (S/N) Anotador 2	Relevante? (S/N) Final	Concorda
859598182866669570	sannps	gente a senhora é a vilã dessa edição #MasterChefBR	Wed May 03 02:39:12 +0000 2017	N	N	N	1
859598200268890113	AlfaceVerde	Miriam engole esse sapo ai... #MasterChefBR melhor voltar pro consultório em...	Wed May 03 02:39:16 +0000 2017	N	N	N	1
859598219449380865	jwstimberlake	PROXIMA PROVA EM EQUIPE, BOTA TODOS CONTRA A MIRIAN, AÍ SIM QUERO VER SE ESSA EMBUSTE NUM SAI #MasterChefBR	Wed May 03 02:39:20 +0000 2017	N	N	N	1
859598238629990400	MussumAlive	RT @masterchefbr: Os pidunchos. They are everywhere! #MasterChefBR https://t.co/L4Vmlo7iJ9	Wed May 03 02:39:25 +0000 2017	N	N	N	1
859598241503039488	Leodasneves_	Pequi é muito bom, recomendo. #MasterChefBR	Wed May 03 02:39:25 +0000 2017	N	N	N	1
859598299602575368	TalitaTilieri	Ave... Oq essa Miriam é chata... #MasterChefBR	Wed May 03 02:39:39 +0000 2017	N	S	S	0
859598304715427841	LeonardoIzecson	Que lavada! Toma Mirian #MasterChefBR	Wed May 03 02:39:41 +0000 2017	N	N	N	1
859598403013160965	boudelaires	a mirian tá achando q é a M do 007 faz de tudo nessa vida #MasterChefBR	Wed May 03 02:40:04 +0000 2017	N	N	N	1
859598423670108160	JackCanalha	Janeiro: "2017 é o meu ano" Maio: #MasterChefBR https://t.co/fA1D5uL55b	Wed May 03 02:40:09 +0000 2017	N	N	N	1
859598437863612417	MussumAlive	@masterchefbr A equipe do pidunchos está aumentando... #MasterchefBR	Wed May 03 02:40:12 +0000 2017	N	N	N	1
859598450069037057	pratofundo	ixi, colega… o que mais tem na cozinha é mexer na panela dos outros, hahah e o mais: PEDIR A OPINÃO DA EQUIPE É IMPORTANTE SIM #MasterchefBR	Wed May 03 02:40:15 +0000 2017	N	S	S	0
859598451302170630	LeonardoIzecson	Adoro todos do time azul, mas a Mirian perdeu sozinha essa prova. #MasterChefBR	Wed May 03 02:40:16 +0000 2017	N	S	S	0
859598467873878020	emilyfdearaujo	#MasterChefBR MAIS CHATO Q A MIRIAM, SÓ A ANA REPETINDO OS PRÊMIOS TODA TERÇA	Wed May 03 02:40:19 +0000 2017	S	S	S	1
859598546517020672	ZAMENZA	Time Vermelho SUPREMO. #FATALITYCOMBOPLUS #MasterChefBr https://t.co/SQOZbnJBgP	Wed May 03 02:40:38 +0000 2017	N	N	N	1
859598616222195712	emilyfdearaujo	RT @lilis_hill: Qdo uma das zamiga desencalha!#MasterChefBR https://t.co/tw6kGEApsF	Wed May 03 02:40:55 +0000 2017	N	S	S	0
859598659612282881	TeIevizona	Equipe azul indo pro mezanino #MasterChefBR https://t.co/OJsKwLGTcr	Wed May 03 02:41:05 +0000 2017	N	N	N	1
859598671196950531	masterchefbr	Partiu prova de eliminaçãããooo... Flw! Vlw! #MasterChefBR https://t.co/h4wTMSq62S	Wed May 03 02:41:08 +0000 2017	N	N	N	1
859598731649454080	OpsEngordei	brigaaaaaaa #MasterChefBR	Wed May 03 02:41:22 +0000 2017	S	S	S	1
859598753317179392	Teledramaturgia	Climão #MasterChefBR	Wed May 03 02:41:28 +0000 2017	S	N	S	0
859598760846012416	ForumChaves	Enquanto isso no #MasterChefBR, o @MChefFabrizio está usando uma camiseta com estampa do Chaveco, personagem do Che… https://t.co/lKMuAWQdW8	Wed May 03 02:41:29 +0000 2017	N	N	N	1
859598819679510530	Teledramaturgia	Gente, maior climão #MasterChefBR	Wed May 03 02:41:43 +0000 2017	S	S	S	1
859598818291183617	emilyfdearaujo	#MasterChefBR TRETAS, TRETAS.... SOCORRO	Wed May 03 02:41:43 +0000 2017	S	S	S	1
859598844941750274	leoradiofobia	Essa Miriam é o canal exposto no molar dos participantes do #MasterchefBR.	Wed May 03 02:41:49 +0000 2017	S	S	S	1
859598878798204928	cleytu	SEGURA ESSE DEBOCHE DO FABRIZIO #MasterChefBR	Wed May 03 02:41:57 +0000 2017	S	S	S	1
