N	from_user	text	created_at	Relevante? (S/N) Anotador 1	Relevante? (S/N) Anotador 2	Relevante? (S/N) Final	Concorda
859604465053249536	OpsEngordei	um beijo pro ratatouille #MasterChefBR	Wed May 03 03:04:09 +0000 2017	N	N	N	1
859604519927283713	FelixZiul	A líder do time azul é igual a muitos líderes nas empresas que são arrogantes e insuportáveis #MasterChefBR	Wed May 03 03:04:22 +0000 2017	S	S	S	1
859604656875593728	dyrsoo	RT @MChefRoger: OLHA AQUI QUERIDINHA DE PEIXE EU ENTENDO!!! Vraaaaaa @MChefFabrizio @masterchefbr #MasterChefBR https://t.co/97DHyH6wFk	Wed May 03 03:04:55 +0000 2017	S	S	S	1
859604686470602753	whatsappsbr	RT @Candidatavip: o crush visualizou e esta escrevendo #MasterchefBR https://t.co/sYwUelKgcf	Wed May 03 03:05:02 +0000 2017	N	N	N	1
859604707270156288	avadakedavrals	Não quero que nem a miriam e nem o fabrizio saia se não meu barraco esta perdido #MasterChefBR	Wed May 03 03:05:07 +0000 2017	N	N	N	1
859604740249989124	JackCanalha	#MasterChefBR https://t.co/GsOXYZqucB	Wed May 03 03:05:15 +0000 2017	N	N	N	1
859604789834985472	avadakedavrals	RT @thiago_p: A mulher não conseguiu cozinhar uma mandioca e joga a culpa no outro que ficou sozinho com o peixe. hahahahaha #MasterChefBR	Wed May 03 03:05:27 +0000 2017	N	S	S	0
859604823397859332	Teledramaturgia	Cozinhando sozinha #MasterChefBR https://t.co/et7H4vxxcC	Wed May 03 03:05:35 +0000 2017	N	N	N	1
859604881774194689	avadakedavrals	RT @edyenecaroline: Para alarmes com a @PaolaCarosella dizendo: "acorda,acorda!" eu digo SIM! #MasterChefBR	Wed May 03 03:05:49 +0000 2017	N	S	S	0
859604896877826049	avadakedavrals	RT @misilmg: 45 minutos dá tempo de, no máximo, abrir uma lata de sardinha! #MasterChefBR	Wed May 03 03:05:52 +0000 2017	N	N	N	1
859604914363826176	masterchefbr	Tá vendo como ele surge? #MasterChefBR https://t.co/7rRyynEUoj	Wed May 03 03:05:56 +0000 2017	N	N	N	1
859604923234881537	avadakedavrals	RT @missbannwart: Conselhos para a vida com Erick Jacquin #MasterChefBR https://t.co/7w1FuOsO59	Wed May 03 03:05:59 +0000 2017	N	N	N	1
859604943619190784	avadakedavrals	RT @cleytu: qnd vc ta deitado quase dormindo e de repente tem a sensação de q tá caindo #MasterChefBR https://t.co/067HSq5AH1	Wed May 03 03:06:03 +0000 2017	N	N	N	1
859604969003122689	avadakedavrals	RT @laarissamarcal: Qualquer semelhança é mera coincidência #MasterChefBR https://t.co/OD0JHcIQyp	Wed May 03 03:06:09 +0000 2017	N	N	N	1
859604975839793152	PaolaCarosella	RT @masterchefbr: Sua vó começa a chorar com a novela e quer que você se emocione também! #MasterChefBR https://t.co/jMTQXzZJ9g	Wed May 03 03:06:11 +0000 2017	N	N	N	1
859605054948560896	pratofundo	ads com a tartaruga que eu achei que era da Tortuguita, mas é de apartamento… hahahah #MasterChefBR https://t.co/nbDz27wyoa	Wed May 03 03:06:30 +0000 2017	N	N	N	1
859605136150327296	avadakedavrals	RT @AmericooJr: O crush mudou o status para solteiro!!! #MasterChefBR https://t.co/o67i0LT616	Wed May 03 03:06:49 +0000 2017	N	N	N	1
859605146657017856	avadakedavrals	RT @NonLacerda: Quando tem treta no #MasterChefBR 😍😍👏👏 https://t.co/PD4oaykvJr	Wed May 03 03:06:52 +0000 2017	N	N	N	1
859605154265518080	brunomotta	Isto que esta passando no Jornal da Globo é uma das coisas mais asquerosas que eu vi hoje. E tem gente limpando peixe no #MasterChefBR	Wed May 03 03:06:54 +0000 2017	N	N	N	1
859605156111020032	avadakedavrals	RT @cleytu: eu assistindo as tretas no #MasterChefBR https://t.co/It0nCfCe8Y	Wed May 03 03:06:54 +0000 2017	N	N	N	1
859605178173018112	avadakedavrals	RT @Ketiigomes: Não acredito que uma senhorinha é a embuste da edição #MasterChefBR https://t.co/OKOg4Zu8nW	Wed May 03 03:06:59 +0000 2017	N	S	S	0
859605297610051584	bicmuller	Cheguei no #masterchefBR e já quero sentar na janelinha	Wed May 03 03:07:28 +0000 2017	N	N	N	1
859605309689671682	Zodiculo	"O salmão é a vaca do mar" #MasterChefBR Eu sou a vaca do Twitter.	Wed May 03 03:07:31 +0000 2017	S	S	S	1
859605326810796033	avadakedavrals	A GENTE TORCEU PELA MIRIAM E FOI ELA QUE TIROU A MARZILIA EU ODEIO O MUNDO #MasterChefBR	Wed May 03 03:07:35 +0000 2017	N	S	S	0
859605335408955393	PaolaCarosella	RT @twispn: aqui em casa ja montei meu prato com uma redução de biscoito e um pão desconstruido bejo @PaolaCarosella 💜 #MasterChefBR https:…	Wed May 03 03:07:37 +0000 2017	S	S	S	1
859605361933905922	avadakedavrals	RT @BlueLarry_: #MasterChefBR quando vejo meus favs subindo pro mezanino https://t.co/1NQJ3WAd8d	Wed May 03 03:07:43 +0000 2017	N	N	N	1
859605376546873345	avadakedavrals	RT @cleytu: QUANTA TRETA #MasterChefBR https://t.co/b6LmwmxBmj	Wed May 03 03:07:47 +0000 2017	N	S	S	0
859605395203117056	Teledramaturgia	Gente, o que é DIL que eles tanto falam? #MasterChefBR	Wed May 03 03:07:51 +0000 2017	S	S	S	1
859605453956800512	QuinnJohnston9	#MasterChefBR https://t.co/FoU1CmzgFl	Wed May 03 03:08:05 +0000 2017	N	N	N	1
859605456783908864	diva_oficial	Qual o nome do peixe que tá sendo preparado hoje no #MasterChefBR? https://t.co/yjKhwvXhe0	Wed May 03 03:08:06 +0000 2017	S	N	S	0
859605465906524160	MussumAlive	O pessoal desse #MasterchefBR gosta de usar esse tal de DIU né	Wed May 03 03:08:08 +0000 2017	S	N	S	0
